Machine,BlockSize,TotalThreads,Msamples,ThreadX,ThreadY,ThreadZ
cidia,32,512,246.283087,32,16,1
cidia,32,512,232.539856,32,4,4
cidia,32,256,219.5808,32,4,2
cidia,48,512,526.925428,16,16,2
cidia,48,512,516.942955,16,8,4
cidia,48,512,492.882152,32,4,4
cidia,64,512,630.102721,32,4,4
cidia,64,256,629.802653,16,4,4
cidia,64,512,608.070288,32,8,2
cidia,96,512,1085.583202,32,8,2
cidia,96,512,1076.522888,32,4,4
cidia,96,256,1037.715984,32,4,2
cidia,128,512,1304.198451,32,4,4
cidia,128,512,1294.522875,32,8,2
cidia,128,256,1261.351011,32,4,2
cidia,160,512,1421.466828,32,4,4
cidia,160,512,1413.643467,32,8,2
cidia,160,256,1386.558125,32,4,2
grace1,32,256,361.198931,64,2,2
grace1,32,128,360.792605,32,2,2
grace1,32,256,355.042213,32,4,2
grace1,48,256,1061.742269,16,4,4
grace1,48,128,1060.447447,16,4,2
grace1,48,128,1039.524354,32,2,2
grace1,64,128,2043.946444,16,4,2
grace1,64,256,1989.469725,16,4,4
grace1,64,128,1984.37551,32,2,2
grace1,96,256,3455.515527,16,4,4
grace1,96,256,3343.705645,16,8,2
grace1,96,512,3314.201789,16,16,2
grace1,128,256,4423.072417,16,4,4
grace1,128,256,4401.993602,16,8,2
grace1,128,512,4240.027117,16,8,4
grace1,160,512,4604.430256,16,8,4
grace1,160,512,4566.428428,16,16,2
grace1,160,256,4516.896658,16,4,4
poti3,32,256,398.437383,16,4,4
poti3,32,128,380.873347,32,2,2
poti3,32,128,378.388367,16,4,2
poti3,48,256,892.29931,16,4,4
poti3,48,128,862.194533,8,4,4
poti3,48,128,854.665171,16,4,2
poti3,64,128,1226.166002,16,4,2
poti3,64,256,1196.06783,16,4,4
poti3,64,256,1149.858713,16,8,2
poti3,96,128,1859.881011,16,4,2
poti3,96,256,1835.26491,16,4,4
poti3,96,64,1822.234878,16,2,2
poti3,128,128,2297.934973,16,4,2
poti3,128,128,2196.331374,16,8,1
poti3,128,64,2153.222378,16,2,2
poti3,160,128,2432.049015,16,4,2
poti3,160,64,2323.650654,16,2,2
poti3,160,128,2320.34811,16,8,1
tupi3,32,256,340.770895,32,8,1
tupi3,32,128,337.243773,32,2,2
tupi3,32,256,328.926233,64,2,2
tupi3,48,128,946.965681,16,4,2
tupi3,48,128,928.391236,32,2,2
tupi3,48,256,920.037453,16,4,4
tupi3,64,128,1812.777496,16,4,2
tupi3,64,256,1757.551244,16,4,4
tupi3,64,256,1744.122706,16,8,2
tupi3,96,128,3518.295135,16,4,2
tupi3,96,64,3388.537851,16,2,2
tupi3,96,128,3319.53902,16,8,1
tupi3,128,128,4804.451694,16,4,2
tupi3,128,128,4577.249321,16,8,1
tupi3,128,64,4558.108497,16,2,2
tupi3,160,128,5453.642617,16,4,2
tupi3,160,128,5367.65955,16,8,1
tupi3,160,64,5252.713583,16,2,2
