WithIO,BlockSeg,Schedulers,Blocks,Width,AbsorbSize,BorderSize,TotalTime,TimeStep,OutputTime
1,12,dmda,.1,552,8,4,0.0004,0.00001,0.00005
1,18,ws,.1,552,8,4,0.0004,0.00001,0.00005
0,12,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
0,64,dm,.1,552,8,4,0.0004,0.00001,0.00005
1,6,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
0,24,random,.1,552,8,4,0.0004,0.00001,0.00005
1,16,eager,.1,552,8,4,0.0004,0.00001,0.00005
0,64,random,.1,552,8,4,0.0004,0.00001,0.00005
0,8,lws,.1,552,8,4,0.0004,0.00001,0.00005
0,36,eager,.1,552,8,4,0.0004,0.00001,0.00005
1,3,dm,.1,552,8,4,0.0004,0.00001,0.00005
1,36,ws,.1,552,8,4,0.0004,0.00001,0.00005
0,8,eager,.1,552,8,4,0.0004,0.00001,0.00005
0,36,ws,.1,552,8,4,0.0004,0.00001,0.00005
0,3,lws,.1,552,8,4,0.0004,0.00001,0.00005
0,12,random,.1,552,8,4,0.0004,0.00001,0.00005
0,3,dm,.1,552,8,4,0.0004,0.00001,0.00005
1,6,dm,.1,552,8,4,0.0004,0.00001,0.00005
1,8,random,.1,552,8,4,0.0004,0.00001,0.00005
1,18,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
1,36,dm,.1,552,8,4,0.0004,0.00001,0.00005
0,12,lws,.1,552,8,4,0.0004,0.00001,0.00005
0,8,random,.1,552,8,4,0.0004,0.00001,0.00005
1,6,lws,.1,552,8,4,0.0004,0.00001,0.00005
1,24,ws,.1,552,8,4,0.0004,0.00001,0.00005
0,18,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
1,18,random,.1,552,8,4,0.0004,0.00001,0.00005
0,8,dm,.1,552,8,4,0.0004,0.00001,0.00005
1,24,dmda,.1,552,8,4,0.0004,0.00001,0.00005
1,32,eager,.1,552,8,4,0.0004,0.00001,0.00005
1,24,random,.1,552,8,4,0.0004,0.00001,0.00005
0,24,dm,.1,552,8,4,0.0004,0.00001,0.00005
0,9,lws,.1,552,8,4,0.0004,0.00001,0.00005
1,3,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
0,36,dmda,.1,552,8,4,0.0004,0.00001,0.00005
1,16,random,.1,552,8,4,0.0004,0.00001,0.00005
0,64,eager,.1,552,8,4,0.0004,0.00001,0.00005
0,18,dm,.1,552,8,4,0.0004,0.00001,0.00005
1,24,dm,.1,552,8,4,0.0004,0.00001,0.00005
0,16,random,.1,552,8,4,0.0004,0.00001,0.00005
1,64,dmda,.1,552,8,4,0.0004,0.00001,0.00005
1,4,dmda,.1,552,8,4,0.0004,0.00001,0.00005
1,48,eager,.1,552,8,4,0.0004,0.00001,0.00005
1,32,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
1,64,dm,.1,552,8,4,0.0004,0.00001,0.00005
0,32,random,.1,552,8,4,0.0004,0.00001,0.00005
1,36,eager,.1,552,8,4,0.0004,0.00001,0.00005
0,12,dm,.1,552,8,4,0.0004,0.00001,0.00005
1,64,lws,.1,552,8,4,0.0004,0.00001,0.00005
0,32,dmda,.1,552,8,4,0.0004,0.00001,0.00005
0,4,dmda,.1,552,8,4,0.0004,0.00001,0.00005
0,12,dmda,.1,552,8,4,0.0004,0.00001,0.00005
0,64,lws,.1,552,8,4,0.0004,0.00001,0.00005
0,48,ws,.1,552,8,4,0.0004,0.00001,0.00005
0,4,lws,.1,552,8,4,0.0004,0.00001,0.00005
1,36,lws,.1,552,8,4,0.0004,0.00001,0.00005
0,16,eager,.1,552,8,4,0.0004,0.00001,0.00005
0,24,dmda,.1,552,8,4,0.0004,0.00001,0.00005
0,6,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
1,36,random,.1,552,8,4,0.0004,0.00001,0.00005
1,32,dm,.1,552,8,4,0.0004,0.00001,0.00005
0,48,eager,.1,552,8,4,0.0004,0.00001,0.00005
0,9,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
0,4,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
1,8,dmda,.1,552,8,4,0.0004,0.00001,0.00005
0,4,random,.1,552,8,4,0.0004,0.00001,0.00005
1,36,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
1,6,dmda,.1,552,8,4,0.0004,0.00001,0.00005
0,18,lws,.1,552,8,4,0.0004,0.00001,0.00005
1,3,random,.1,552,8,4,0.0004,0.00001,0.00005
1,4,dm,.1,552,8,4,0.0004,0.00001,0.00005
0,32,dm,.1,552,8,4,0.0004,0.00001,0.00005
1,4,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
0,8,dmda,.1,552,8,4,0.0004,0.00001,0.00005
0,24,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
0,6,random,.1,552,8,4,0.0004,0.00001,0.00005
1,48,lws,.1,552,8,4,0.0004,0.00001,0.00005
0,24,eager,.1,552,8,4,0.0004,0.00001,0.00005
0,16,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
1,16,dm,.1,552,8,4,0.0004,0.00001,0.00005
1,32,dmda,.1,552,8,4,0.0004,0.00001,0.00005
0,6,lws,.1,552,8,4,0.0004,0.00001,0.00005
1,12,lws,.1,552,8,4,0.0004,0.00001,0.00005
0,64,dmda,.1,552,8,4,0.0004,0.00001,0.00005
1,12,ws,.1,552,8,4,0.0004,0.00001,0.00005
1,18,lws,.1,552,8,4,0.0004,0.00001,0.00005
1,24,lws,.1,552,8,4,0.0004,0.00001,0.00005
1,8,ws,.1,552,8,4,0.0004,0.00001,0.00005
0,32,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
1,9,dm,.1,552,8,4,0.0004,0.00001,0.00005
1,8,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
1,9,eager,.1,552,8,4,0.0004,0.00001,0.00005
0,3,eager,.1,552,8,4,0.0004,0.00001,0.00005
0,36,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
0,8,ws,.1,552,8,4,0.0004,0.00001,0.00005
1,64,eager,.1,552,8,4,0.0004,0.00001,0.00005
0,18,eager,.1,552,8,4,0.0004,0.00001,0.00005
1,6,ws,.1,552,8,4,0.0004,0.00001,0.00005
0,16,dm,.1,552,8,4,0.0004,0.00001,0.00005
1,9,dmda,.1,552,8,4,0.0004,0.00001,0.00005
1,64,dmdar,.1,552,8,4,0.0004,0.00001,0.00005
0,36,lws,.1,552,8,4,0.0004,0.00001,0.00005
1,48,ws,.1,552,8,4,0.0004,0.00001,0.00005
0,16,dmda,.1,552,8,4,0.0004,0.00001,0.00005
0,48,lws,.1,552,8,4,0.0004,0.00001,0.00005
0,3,ws,.1,552,8,4,0.0004,0.00001,0.00005
