ThreadX,ThreadY,ThreadZ,BlockSize,Blocks,BlockCount,Iterations,TotalThreads
128,2,2,96,1,3,10,512
128,2,2,48,1,3,10,512
32,8,1,128,1,3,10,256
64,4,1,96,1,3,10,256
8,8,2,128,1,3,10,128
32,16,1,160,1,3,10,512
8,4,2,48,1,3,10,64
8,8,2,32,1,3,10,128
8,8,4,160,1,3,10,256
32,2,1,160,1,3,10,64
8,8,2,48,1,3,10,128
16,8,1,64,1,3,10,128
64,2,2,32,1,3,10,256
64,4,2,64,1,3,10,512
16,16,2,128,1,3,10,512
8,8,8,48,1,3,10,512
4,4,4,32,1,3,10,64
16,8,4,48,1,3,10,512
16,2,2,64,1,3,10,64
8,8,8,32,1,3,10,512
128,2,2,64,1,3,10,512
16,8,4,64,1,3,10,512
128,2,1,128,1,3,10,256
16,16,2,32,1,3,10,512
16,4,4,160,1,3,10,256
8,4,4,96,1,3,10,128
8,4,4,64,1,3,10,128
16,4,4,128,1,3,10,256
32,8,2,32,1,3,10,512
32,4,1,64,1,3,10,128
8,4,4,128,1,3,10,128
32,8,2,48,1,3,10,512
32,4,2,160,1,3,10,256
16,2,2,48,1,3,10,64
64,4,1,128,1,3,10,256
8,8,8,64,1,3,10,512
8,8,8,96,1,3,10,512
128,1,1,128,1,3,10,128
16,16,1,32,1,3,10,256
4,4,4,48,1,3,10,64
32,4,1,96,1,3,10,128
16,4,2,64,1,3,10,128
8,4,2,160,1,3,10,64
16,8,2,160,1,3,10,256
16,4,1,48,1,3,10,64
32,4,1,160,1,3,10,128
8,8,4,32,1,3,10,256
128,1,1,96,1,3,10,128
16,8,1,96,1,3,10,128
32,2,1,48,1,3,10,64
8,8,1,160,1,3,10,64
16,8,2,96,1,3,10,256
16,4,4,32,1,3,10,256
32,2,2,128,1,3,10,128
64,4,2,160,1,3,10,512
32,8,1,96,1,3,10,256
128,1,1,48,1,3,10,128
32,4,4,96,1,3,10,512
32,4,2,32,1,3,10,256
8,8,1,96,1,3,10,64
32,16,1,64,1,3,10,512
64,4,2,128,1,3,10,512
16,4,2,128,1,3,10,128
32,8,2,160,1,3,10,512
64,8,1,64,1,3,10,512
64,1,1,64,1,3,10,64
16,4,2,32,1,3,10,128
32,16,1,128,1,3,10,512
16,8,1,160,1,3,10,128
16,8,2,32,1,3,10,256
256,1,1,160,1,3,10,256
128,1,1,160,1,3,10,128
32,4,1,128,1,3,10,128
64,8,1,32,1,3,10,512
32,16,1,96,1,3,10,512
16,16,2,64,1,3,10,512
16,8,1,48,1,3,10,128
64,2,1,160,1,3,10,128
16,4,1,160,1,3,10,64
128,2,2,32,1,3,10,512
128,4,1,64,1,3,10,512
16,16,1,160,1,3,10,256
32,8,2,128,1,3,10,512
64,2,1,64,1,3,10,128
4,4,4,96,1,3,10,64
256,1,1,64,1,3,10,256
8,4,4,160,1,3,10,128
32,8,2,64,1,3,10,512
256,2,1,48,1,3,10,512
32,2,1,128,1,3,10,64
16,8,2,48,1,3,10,256
256,2,1,160,1,3,10,512
8,8,2,160,1,3,10,128
16,16,2,160,1,3,10,512
128,2,2,160,1,3,10,512
32,4,2,48,1,3,10,256
512,1,1,32,1,3,10,512
8,4,4,32,1,3,10,128
64,2,2,48,1,3,10,256
64,1,1,128,1,3,10,64
32,4,2,128,1,3,10,256
64,8,1,128,1,3,10,512
8,8,4,96,1,3,10,256
8,4,2,96,1,3,10,64
32,2,1,64,1,3,10,64
8,8,4,128,1,3,10,256
512,1,1,128,1,3,10,512
256,1,1,48,1,3,10,256
64,4,1,64,1,3,10,256
32,2,2,64,1,3,10,128
4,4,4,128,1,3,10,64
16,8,2,64,1,3,10,256
128,4,1,96,1,3,10,512
512,1,1,96,1,3,10,512
32,4,4,32,1,3,10,512
128,2,1,96,1,3,10,256
64,1,1,32,1,3,10,64
32,2,2,96,1,3,10,128
8,8,1,64,1,3,10,64
256,1,1,128,1,3,10,256
64,2,2,128,1,3,10,256
128,4,1,32,1,3,10,512
64,4,1,160,1,3,10,256
16,4,4,48,1,3,10,256
64,2,1,48,1,3,10,128
32,16,1,48,1,3,10,512
32,2,1,96,1,3,10,64
16,16,2,48,1,3,10,512
16,16,1,96,1,3,10,256
32,4,4,128,1,3,10,512
32,2,2,48,1,3,10,128
64,2,2,96,1,3,10,256
32,8,1,48,1,3,10,256
16,4,1,96,1,3,10,64
16,4,2,48,1,3,10,128
64,2,2,160,1,3,10,256
16,8,4,128,1,3,10,512
16,2,2,96,1,3,10,64
16,16,1,64,1,3,10,256
4,4,4,160,1,3,10,64
256,1,1,32,1,3,10,256
32,2,1,32,1,3,10,64
64,2,1,96,1,3,10,128
128,4,1,48,1,3,10,512
32,8,1,64,1,3,10,256
16,4,1,64,1,3,10,64
64,8,1,48,1,3,10,512
32,8,1,32,1,3,10,256
128,2,1,32,1,3,10,256
32,4,4,160,1,3,10,512
64,4,2,96,1,3,10,512
16,8,4,96,1,3,10,512
16,4,4,64,1,3,10,256
64,2,1,128,1,3,10,128
128,1,1,64,1,3,10,128
64,1,1,96,1,3,10,64
64,2,1,32,1,3,10,128
8,8,2,64,1,3,10,128
256,2,1,64,1,3,10,512
16,4,2,96,1,3,10,128
512,1,1,160,1,3,10,512
32,4,1,32,1,3,10,128
8,8,2,96,1,3,10,128
16,4,1,32,1,3,10,64
512,1,1,64,1,3,10,512
16,16,1,48,1,3,10,256
64,4,2,32,1,3,10,512
512,1,1,48,1,3,10,512
256,2,1,128,1,3,10,512
32,4,4,48,1,3,10,512
64,4,1,48,1,3,10,256
128,2,1,160,1,3,10,256
32,2,2,32,1,3,10,128
16,16,1,128,1,3,10,256
64,1,1,48,1,3,10,64
16,8,4,160,1,3,10,512
128,2,1,64,1,3,10,256
4,4,4,64,1,3,10,64
16,4,2,160,1,3,10,128
256,1,1,96,1,3,10,256
256,2,1,96,1,3,10,512
8,4,2,64,1,3,10,64
16,2,2,160,1,3,10,64
32,4,2,64,1,3,10,256
16,2,2,32,1,3,10,64
256,2,1,32,1,3,10,512
8,8,1,128,1,3,10,64
128,1,1,32,1,3,10,128
16,4,1,128,1,3,10,64
64,8,1,160,1,3,10,512
32,4,4,64,1,3,10,512
16,8,1,128,1,3,10,128
16,16,2,96,1,3,10,512
128,2,1,48,1,3,10,256
8,8,4,64,1,3,10,256
8,4,2,128,1,3,10,64
16,8,2,128,1,3,10,256
128,4,1,128,1,3,10,512
8,8,4,48,1,3,10,256
32,16,1,32,1,3,10,512
16,2,2,128,1,3,10,64
8,4,2,32,1,3,10,64
64,4,1,32,1,3,10,256
32,4,1,48,1,3,10,128
32,8,2,96,1,3,10,512
64,2,2,64,1,3,10,256
8,4,4,48,1,3,10,128
64,4,2,48,1,3,10,512
8,8,1,32,1,3,10,64
32,2,2,160,1,3,10,128
128,4,1,160,1,3,10,512
8,8,1,48,1,3,10,64
16,8,1,32,1,3,10,128
32,8,1,160,1,3,10,256
128,2,2,128,1,3,10,512
64,8,1,96,1,3,10,512
8,8,8,160,1,3,10,512
32,4,2,96,1,3,10,256
16,8,4,32,1,3,10,512
64,1,1,160,1,3,10,64
16,4,4,96,1,3,10,256
8,8,8,128,1,3,10,512
16,8,4,48,2,3,10,512
256,2,1,32,2,3,10,512
8,8,1,48,2,3,10,64
8,4,4,32,2,3,10,128
8,8,8,128,2,3,10,512
64,1,1,48,2,3,10,64
8,8,4,48,2,3,10,256
16,8,2,96,2,3,10,256
64,2,2,96,2,3,10,256
32,4,4,32,2,3,10,512
8,8,2,96,2,3,10,128
8,8,4,64,2,3,10,256
16,4,1,64,2,3,10,64
128,2,2,64,2,3,10,512
32,8,2,160,2,3,10,512
16,16,2,48,2,3,10,512
16,2,2,128,2,3,10,64
128,2,2,32,2,3,10,512
8,8,8,32,2,3,10,512
128,4,1,32,2,3,10,512
128,2,2,160,2,3,10,512
8,8,8,96,2,3,10,512
64,8,1,32,2,3,10,512
256,1,1,96,2,3,10,256
16,2,2,48,2,3,10,64
16,8,2,48,2,3,10,256
128,1,1,160,2,3,10,128
64,4,1,160,2,3,10,256
8,8,1,64,2,3,10,64
16,16,1,160,2,3,10,256
32,2,2,32,2,3,10,128
32,8,1,64,2,3,10,256
8,4,2,64,2,3,10,64
4,4,4,48,2,3,10,64
16,4,4,64,2,3,10,256
512,1,1,32,2,3,10,512
32,8,2,32,2,3,10,512
64,8,1,160,2,3,10,512
32,8,2,128,2,3,10,512
8,4,2,96,2,3,10,64
32,2,2,64,2,3,10,128
16,4,4,32,2,3,10,256
32,8,1,160,2,3,10,256
16,16,2,64,2,3,10,512
16,16,2,160,2,3,10,512
8,8,2,32,2,3,10,128
128,1,1,64,2,3,10,128
16,8,2,64,2,3,10,256
32,4,4,48,2,3,10,512
256,1,1,48,2,3,10,256
32,8,1,48,2,3,10,256
256,1,1,160,2,3,10,256
16,4,1,160,2,3,10,64
256,2,1,64,2,3,10,512
8,4,2,160,2,3,10,64
64,1,1,64,2,3,10,64
32,2,1,32,2,3,10,64
16,2,2,96,2,3,10,64
16,16,1,96,2,3,10,256
8,8,8,64,2,3,10,512
32,16,1,128,2,3,10,512
128,1,1,128,2,3,10,128
8,4,2,48,2,3,10,64
64,1,1,32,2,3,10,64
256,2,1,128,2,3,10,512
64,2,1,64,2,3,10,128
16,4,1,128,2,3,10,64
