WithIO,Blocks,Width,AbsorbSize,TotalTime,TimeStep,OutputTime
1,.1,232,8,0.001,0.0001,0.0001
0,.1,168,8,0.001,0.0001,0.0001
0,.1,232,8,0.001,0.0001,0.0001
1,.1,424,8,0.001,0.0001,0.0001
1,.1,360,8,0.001,0.0001,0.0001
1,.1,168,8,0.001,0.0001,0.0001
0,.1,296,8,0.001,0.0001,0.0001
0,.1,360,8,0.001,0.0001,0.0001
0,.1,424,8,0.001,0.0001,0.0001
1,.1,296,8,0.001,0.0001,0.0001
0,.2,232,8,0.001,0.0001,0.0001
1,.2,296,8,0.001,0.0001,0.0001
0,.2,296,8,0.001,0.0001,0.0001
0,.2,424,8,0.001,0.0001,0.0001
0,.2,360,8,0.001,0.0001,0.0001
1,.2,232,8,0.001,0.0001,0.0001
1,.2,168,8,0.001,0.0001,0.0001
1,.2,360,8,0.001,0.0001,0.0001
0,.2,168,8,0.001,0.0001,0.0001
1,.2,424,8,0.001,0.0001,0.0001
0,.3,232,8,0.001,0.0001,0.0001
0,.3,168,8,0.001,0.0001,0.0001
0,.3,360,8,0.001,0.0001,0.0001
0,.3,424,8,0.001,0.0001,0.0001
1,.3,296,8,0.001,0.0001,0.0001
1,.3,424,8,0.001,0.0001,0.0001
1,.3,232,8,0.001,0.0001,0.0001
1,.3,168,8,0.001,0.0001,0.0001
1,.3,360,8,0.001,0.0001,0.0001
0,.3,296,8,0.001,0.0001,0.0001
1,.4,168,8,0.001,0.0001,0.0001
0,.4,296,8,0.001,0.0001,0.0001
0,.4,360,8,0.001,0.0001,0.0001
0,.4,424,8,0.001,0.0001,0.0001
1,.4,360,8,0.001,0.0001,0.0001
1,.4,424,8,0.001,0.0001,0.0001
1,.4,232,8,0.001,0.0001,0.0001
0,.4,168,8,0.001,0.0001,0.0001
1,.4,296,8,0.001,0.0001,0.0001
0,.4,232,8,0.001,0.0001,0.0001
1,.5,168,8,0.001,0.0001,0.0001
0,.5,360,8,0.001,0.0001,0.0001
0,.5,168,8,0.001,0.0001,0.0001
0,.5,424,8,0.001,0.0001,0.0001
1,.5,232,8,0.001,0.0001,0.0001
1,.5,296,8,0.001,0.0001,0.0001
0,.5,296,8,0.001,0.0001,0.0001
0,.5,232,8,0.001,0.0001,0.0001
1,.5,424,8,0.001,0.0001,0.0001
1,.5,360,8,0.001,0.0001,0.0001
