WithIO,Blocks,Width,AbsorbSize,TotalTime,TimeStep,OutputTime
1,.1,72,8,0.001,0.0001,0.0001
0,.1,328,8,0.001,0.0001,0.0001
1,.1,136,8,0.001,0.0001,0.0001
0,.1,136,8,0.001,0.0001,0.0001
0,.1,72,8,0.001,0.0001,0.0001
1,.1,328,8,0.001,0.0001,0.0001
0,.1,392,8,0.001,0.0001,0.0001
0,.1,264,8,0.001,0.0001,0.0001
1,.1,392,8,0.001,0.0001,0.0001
1,.1,200,8,0.001,0.0001,0.0001
1,.1,264,8,0.001,0.0001,0.0001
0,.1,200,8,0.001,0.0001,0.0001
1,.2,392,8,0.001,0.0001,0.0001
0,.2,72,8,0.001,0.0001,0.0001
1,.2,136,8,0.001,0.0001,0.0001
0,.2,328,8,0.001,0.0001,0.0001
0,.2,392,8,0.001,0.0001,0.0001
1,.2,328,8,0.001,0.0001,0.0001
1,.2,264,8,0.001,0.0001,0.0001
0,.2,136,8,0.001,0.0001,0.0001
0,.2,200,8,0.001,0.0001,0.0001
1,.2,72,8,0.001,0.0001,0.0001
0,.2,264,8,0.001,0.0001,0.0001
1,.2,200,8,0.001,0.0001,0.0001
0,.3,392,8,0.001,0.0001,0.0001
0,.3,136,8,0.001,0.0001,0.0001
1,.3,264,8,0.001,0.0001,0.0001
0,.3,72,8,0.001,0.0001,0.0001
0,.3,200,8,0.001,0.0001,0.0001
1,.3,72,8,0.001,0.0001,0.0001
1,.3,200,8,0.001,0.0001,0.0001
0,.3,328,8,0.001,0.0001,0.0001
0,.3,264,8,0.001,0.0001,0.0001
1,.3,392,8,0.001,0.0001,0.0001
1,.3,136,8,0.001,0.0001,0.0001
1,.3,328,8,0.001,0.0001,0.0001
0,.4,136,8,0.001,0.0001,0.0001
1,.4,264,8,0.001,0.0001,0.0001
0,.4,264,8,0.001,0.0001,0.0001
0,.4,200,8,0.001,0.0001,0.0001
1,.4,392,8,0.001,0.0001,0.0001
0,.4,72,8,0.001,0.0001,0.0001
0,.4,328,8,0.001,0.0001,0.0001
1,.4,200,8,0.001,0.0001,0.0001
1,.4,328,8,0.001,0.0001,0.0001
1,.4,72,8,0.001,0.0001,0.0001
1,.4,136,8,0.001,0.0001,0.0001
0,.4,392,8,0.001,0.0001,0.0001
0,.5,264,8,0.001,0.0001,0.0001
1,.5,392,8,0.001,0.0001,0.0001
0,.5,200,8,0.001,0.0001,0.0001
1,.5,136,8,0.001,0.0001,0.0001
1,.5,264,8,0.001,0.0001,0.0001
1,.5,328,8,0.001,0.0001,0.0001
1,.5,72,8,0.001,0.0001,0.0001
0,.5,72,8,0.001,0.0001,0.0001
0,.5,328,8,0.001,0.0001,0.0001
0,.5,136,8,0.001,0.0001,0.0001
1,.5,200,8,0.001,0.0001,0.0001
0,.5,392,8,0.001,0.0001,0.0001
