WithIO,BlockSeg,Schedulers,Blocks,Width,AbsorbSize,TotalTime,TimeStep,OutputTime
1,4,lws,.1,232,8,0.001,0.0001,0.0001
1,4,ws,.1,232,8,0.001,0.0001,0.0001
0,3,ws,.1,168,8,0.001,0.0001,0.0001
1,4,dmdar,.1,232,8,0.001,0.0001,0.0001
0,4,dm,.1,232,8,0.001,0.0001,0.0001
1,7,dmdar,.1,424,8,0.001,0.0001,0.0001
1,6,lws,.1,360,8,0.001,0.0001,0.0001
0,4,dmdar,.1,232,8,0.001,0.0001,0.0001
0,3,dm,.1,168,8,0.001,0.0001,0.0001
1,3,dmdar,.1,168,8,0.001,0.0001,0.0001
1,7,ws,.1,424,8,0.001,0.0001,0.0001
1,3,dm,.1,168,8,0.001,0.0001,0.0001
0,5,dmdar,.1,296,8,0.001,0.0001,0.0001
1,7,dm,.1,424,8,0.001,0.0001,0.0001
0,6,ws,.1,360,8,0.001,0.0001,0.0001
0,7,ws,.1,424,8,0.001,0.0001,0.0001
0,5,lws,.1,296,8,0.001,0.0001,0.0001
0,3,dmdar,.1,168,8,0.001,0.0001,0.0001
0,5,ws,.1,296,8,0.001,0.0001,0.0001
0,5,dm,.1,296,8,0.001,0.0001,0.0001
1,6,dm,.1,360,8,0.001,0.0001,0.0001
0,7,dm,.1,424,8,0.001,0.0001,0.0001
0,7,lws,.1,424,8,0.001,0.0001,0.0001
1,3,ws,.1,168,8,0.001,0.0001,0.0001
0,6,dm,.1,360,8,0.001,0.0001,0.0001
1,7,lws,.1,424,8,0.001,0.0001,0.0001
1,5,dmdar,.1,296,8,0.001,0.0001,0.0001
1,3,lws,.1,168,8,0.001,0.0001,0.0001
1,6,dmdar,.1,360,8,0.001,0.0001,0.0001
0,7,dmdar,.1,424,8,0.001,0.0001,0.0001
0,4,ws,.1,232,8,0.001,0.0001,0.0001
1,5,ws,.1,296,8,0.001,0.0001,0.0001
0,6,lws,.1,360,8,0.001,0.0001,0.0001
1,6,ws,.1,360,8,0.001,0.0001,0.0001
1,4,dm,.1,232,8,0.001,0.0001,0.0001
0,3,lws,.1,168,8,0.001,0.0001,0.0001
0,6,dmdar,.1,360,8,0.001,0.0001,0.0001
1,5,dm,.1,296,8,0.001,0.0001,0.0001
1,5,lws,.1,296,8,0.001,0.0001,0.0001
0,4,lws,.1,232,8,0.001,0.0001,0.0001
0,4,dm,.2,232,8,0.001,0.0001,0.0001
1,5,ws,.2,296,8,0.001,0.0001,0.0001
0,5,dm,.2,296,8,0.001,0.0001,0.0001
0,7,dmdar,.2,424,8,0.001,0.0001,0.0001
0,6,dmdar,.2,360,8,0.001,0.0001,0.0001
1,4,dm,.2,232,8,0.001,0.0001,0.0001
1,3,dmdar,.2,168,8,0.001,0.0001,0.0001
1,4,lws,.2,232,8,0.001,0.0001,0.0001
1,3,ws,.2,168,8,0.001,0.0001,0.0001
0,4,lws,.2,232,8,0.001,0.0001,0.0001
1,6,lws,.2,360,8,0.001,0.0001,0.0001
1,3,dm,.2,168,8,0.001,0.0001,0.0001
0,4,dmdar,.2,232,8,0.001,0.0001,0.0001
1,5,dmdar,.2,296,8,0.001,0.0001,0.0001
0,3,ws,.2,168,8,0.001,0.0001,0.0001
0,7,lws,.2,424,8,0.001,0.0001,0.0001
1,6,dmdar,.2,360,8,0.001,0.0001,0.0001
1,6,ws,.2,360,8,0.001,0.0001,0.0001
0,6,dm,.2,360,8,0.001,0.0001,0.0001
1,3,lws,.2,168,8,0.001,0.0001,0.0001
0,7,dm,.2,424,8,0.001,0.0001,0.0001
1,7,dmdar,.2,424,8,0.001,0.0001,0.0001
0,6,ws,.2,360,8,0.001,0.0001,0.0001
0,3,lws,.2,168,8,0.001,0.0001,0.0001
1,5,dm,.2,296,8,0.001,0.0001,0.0001
1,4,ws,.2,232,8,0.001,0.0001,0.0001
0,3,dmdar,.2,168,8,0.001,0.0001,0.0001
0,5,dmdar,.2,296,8,0.001,0.0001,0.0001
0,7,ws,.2,424,8,0.001,0.0001,0.0001
0,3,dm,.2,168,8,0.001,0.0001,0.0001
1,7,dm,.2,424,8,0.001,0.0001,0.0001
0,5,lws,.2,296,8,0.001,0.0001,0.0001
1,7,ws,.2,424,8,0.001,0.0001,0.0001
0,5,ws,.2,296,8,0.001,0.0001,0.0001
1,6,dm,.2,360,8,0.001,0.0001,0.0001
0,6,lws,.2,360,8,0.001,0.0001,0.0001
1,4,dmdar,.2,232,8,0.001,0.0001,0.0001
1,5,lws,.2,296,8,0.001,0.0001,0.0001
1,7,lws,.2,424,8,0.001,0.0001,0.0001
0,4,ws,.2,232,8,0.001,0.0001,0.0001
0,4,dmdar,.3,232,8,0.001,0.0001,0.0001
0,3,dm,.3,168,8,0.001,0.0001,0.0001
0,3,dmdar,.3,168,8,0.001,0.0001,0.0001
0,6,lws,.3,360,8,0.001,0.0001,0.0001
0,7,ws,.3,424,8,0.001,0.0001,0.0001
0,4,dm,.3,232,8,0.001,0.0001,0.0001
0,7,lws,.3,424,8,0.001,0.0001,0.0001
1,5,dm,.3,296,8,0.001,0.0001,0.0001
1,5,lws,.3,296,8,0.001,0.0001,0.0001
0,3,lws,.3,168,8,0.001,0.0001,0.0001
1,7,dm,.3,424,8,0.001,0.0001,0.0001
1,7,ws,.3,424,8,0.001,0.0001,0.0001
0,6,ws,.3,360,8,0.001,0.0001,0.0001
1,4,dmdar,.3,232,8,0.001,0.0001,0.0001
1,3,ws,.3,168,8,0.001,0.0001,0.0001
0,7,dm,.3,424,8,0.001,0.0001,0.0001
0,3,ws,.3,168,8,0.001,0.0001,0.0001
1,6,dmdar,.3,360,8,0.001,0.0001,0.0001
0,5,lws,.3,296,8,0.001,0.0001,0.0001
0,5,dm,.3,296,8,0.001,0.0001,0.0001
1,3,dmdar,.3,168,8,0.001,0.0001,0.0001
1,3,lws,.3,168,8,0.001,0.0001,0.0001
1,6,dm,.3,360,8,0.001,0.0001,0.0001
1,6,ws,.3,360,8,0.001,0.0001,0.0001
1,4,dm,.3,232,8,0.001,0.0001,0.0001
0,4,ws,.3,232,8,0.001,0.0001,0.0001
0,7,dmdar,.3,424,8,0.001,0.0001,0.0001
1,3,dm,.3,168,8,0.001,0.0001,0.0001
0,5,dmdar,.3,296,8,0.001,0.0001,0.0001
1,7,lws,.3,424,8,0.001,0.0001,0.0001
1,5,ws,.3,296,8,0.001,0.0001,0.0001
1,4,lws,.3,232,8,0.001,0.0001,0.0001
1,4,ws,.3,232,8,0.001,0.0001,0.0001
0,6,dmdar,.3,360,8,0.001,0.0001,0.0001
0,6,dm,.3,360,8,0.001,0.0001,0.0001
0,5,ws,.3,296,8,0.001,0.0001,0.0001
1,5,dmdar,.3,296,8,0.001,0.0001,0.0001
