WithIO,BlockSeg,Schedulers,Blocks,Width,AbsorbSize,TotalTime,TimeStep,OutputTime
1,3,ws,.1,72,8,0.001,0.0001,0.0001
0,11,dmdar,.1,328,8,0.001,0.0001,0.0001
1,5,random,.1,136,8,0.001,0.0001,0.0001
0,5,dm,.1,136,8,0.001,0.0001,0.0001
0,3,random,.1,72,8,0.001,0.0001,0.0001
1,11,lws,.1,328,8,0.001,0.0001,0.0001
0,13,ws,.1,392,8,0.001,0.0001,0.0001
0,9,dm,.1,264,8,0.001,0.0001,0.0001
1,13,dmdar,.1,392,8,0.001,0.0001,0.0001
1,7,ws,.1,200,8,0.001,0.0001,0.0001
0,11,lws,.1,328,8,0.001,0.0001,0.0001
0,11,ws,.1,328,8,0.001,0.0001,0.0001
0,3,dmdar,.1,72,8,0.001,0.0001,0.0001
1,7,dm,.1,200,8,0.001,0.0001,0.0001
1,11,dm,.1,328,8,0.001,0.0001,0.0001
1,11,random,.1,328,8,0.001,0.0001,0.0001
0,9,random,.1,264,8,0.001,0.0001,0.0001
0,11,random,.1,328,8,0.001,0.0001,0.0001
0,5,ws,.1,136,8,0.001,0.0001,0.0001
1,13,dm,.1,392,8,0.001,0.0001,0.0001
0,3,dm,.1,72,8,0.001,0.0001,0.0001
0,3,lws,.1,72,8,0.001,0.0001,0.0001
1,5,dm,.1,136,8,0.001,0.0001,0.0001
1,3,dm,.1,72,8,0.001,0.0001,0.0001
0,9,dmdar,.1,264,8,0.001,0.0001,0.0001
0,13,dmdar,.1,392,8,0.001,0.0001,0.0001
0,13,dm,.1,392,8,0.001,0.0001,0.0001
1,3,dmdar,.1,72,8,0.001,0.0001,0.0001
1,9,ws,.1,264,8,0.001,0.0001,0.0001
0,5,random,.1,136,8,0.001,0.0001,0.0001
1,7,random,.1,200,8,0.001,0.0001,0.0001
0,11,dm,.1,328,8,0.001,0.0001,0.0001
0,7,lws,.1,200,8,0.001,0.0001,0.0001
1,7,lws,.1,200,8,0.001,0.0001,0.0001
1,13,lws,.1,392,8,0.001,0.0001,0.0001
1,9,lws,.1,264,8,0.001,0.0001,0.0001
0,13,lws,.1,392,8,0.001,0.0001,0.0001
1,13,random,.1,392,8,0.001,0.0001,0.0001
0,5,lws,.1,136,8,0.001,0.0001,0.0001
1,9,random,.1,264,8,0.001,0.0001,0.0001
1,7,dmdar,.1,200,8,0.001,0.0001,0.0001
1,11,ws,.1,328,8,0.001,0.0001,0.0001
1,9,dm,.1,264,8,0.001,0.0001,0.0001
1,5,lws,.1,136,8,0.001,0.0001,0.0001
0,9,ws,.1,264,8,0.001,0.0001,0.0001
0,7,dm,.1,200,8,0.001,0.0001,0.0001
1,5,dmdar,.1,136,8,0.001,0.0001,0.0001
1,3,random,.1,72,8,0.001,0.0001,0.0001
0,3,ws,.1,72,8,0.001,0.0001,0.0001
1,5,ws,.1,136,8,0.001,0.0001,0.0001
0,13,random,.1,392,8,0.001,0.0001,0.0001
1,9,dmdar,.1,264,8,0.001,0.0001,0.0001
0,9,lws,.1,264,8,0.001,0.0001,0.0001
1,3,lws,.1,72,8,0.001,0.0001,0.0001
0,7,ws,.1,200,8,0.001,0.0001,0.0001
1,11,dmdar,.1,328,8,0.001,0.0001,0.0001
1,13,ws,.1,392,8,0.001,0.0001,0.0001
0,5,dmdar,.1,136,8,0.001,0.0001,0.0001
0,7,dmdar,.1,200,8,0.001,0.0001,0.0001
0,7,random,.1,200,8,0.001,0.0001,0.0001
1,13,lws,.2,392,8,0.001,0.0001,0.0001
0,3,ws,.2,72,8,0.001,0.0001,0.0001
1,5,dm,.2,136,8,0.001,0.0001,0.0001
0,3,lws,.2,72,8,0.001,0.0001,0.0001
1,13,dm,.2,392,8,0.001,0.0001,0.0001
0,11,dmdar,.2,328,8,0.001,0.0001,0.0001
0,13,ws,.2,392,8,0.001,0.0001,0.0001
1,11,dm,.2,328,8,0.001,0.0001,0.0001
1,9,ws,.2,264,8,0.001,0.0001,0.0001
0,5,dm,.2,136,8,0.001,0.0001,0.0001
0,7,lws,.2,200,8,0.001,0.0001,0.0001
0,13,dmdar,.2,392,8,0.001,0.0001,0.0001
1,11,ws,.2,328,8,0.001,0.0001,0.0001
1,3,dmdar,.2,72,8,0.001,0.0001,0.0001
1,5,lws,.2,136,8,0.001,0.0001,0.0001
1,9,dm,.2,264,8,0.001,0.0001,0.0001
0,11,lws,.2,328,8,0.001,0.0001,0.0001
0,11,ws,.2,328,8,0.001,0.0001,0.0001
0,9,lws,.2,264,8,0.001,0.0001,0.0001
1,3,dm,.2,72,8,0.001,0.0001,0.0001
0,7,ws,.2,200,8,0.001,0.0001,0.0001
0,11,random,.2,328,8,0.001,0.0001,0.0001
1,7,dmdar,.2,200,8,0.001,0.0001,0.0001
0,9,ws,.2,264,8,0.001,0.0001,0.0001
1,3,lws,.2,72,8,0.001,0.0001,0.0001
1,7,lws,.2,200,8,0.001,0.0001,0.0001
1,9,lws,.2,264,8,0.001,0.0001,0.0001
0,13,dm,.2,392,8,0.001,0.0001,0.0001
1,3,random,.2,72,8,0.001,0.0001,0.0001
1,11,random,.2,328,8,0.001,0.0001,0.0001
0,3,random,.2,72,8,0.001,0.0001,0.0001
0,13,random,.2,392,8,0.001,0.0001,0.0001
0,5,lws,.2,136,8,0.001,0.0001,0.0001
1,13,dmdar,.2,392,8,0.001,0.0001,0.0001
0,5,ws,.2,136,8,0.001,0.0001,0.0001
1,13,ws,.2,392,8,0.001,0.0001,0.0001
1,7,dm,.2,200,8,0.001,0.0001,0.0001
1,5,ws,.2,136,8,0.001,0.0001,0.0001
0,9,dm,.2,264,8,0.001,0.0001,0.0001
1,13,random,.2,392,8,0.001,0.0001,0.0001
0,9,random,.2,264,8,0.001,0.0001,0.0001
1,9,random,.2,264,8,0.001,0.0001,0.0001
0,13,lws,.2,392,8,0.001,0.0001,0.0001
0,5,random,.2,136,8,0.001,0.0001,0.0001
0,11,dm,.2,328,8,0.001,0.0001,0.0001
1,7,ws,.2,200,8,0.001,0.0001,0.0001
0,3,dmdar,.2,72,8,0.001,0.0001,0.0001
1,7,random,.2,200,8,0.001,0.0001,0.0001
1,3,ws,.2,72,8,0.001,0.0001,0.0001
1,5,random,.2,136,8,0.001,0.0001,0.0001
0,5,dmdar,.2,136,8,0.001,0.0001,0.0001
0,7,random,.2,200,8,0.001,0.0001,0.0001
0,9,dmdar,.2,264,8,0.001,0.0001,0.0001
1,9,dmdar,.2,264,8,0.001,0.0001,0.0001
0,7,dmdar,.2,200,8,0.001,0.0001,0.0001
1,11,dmdar,.2,328,8,0.001,0.0001,0.0001
1,11,lws,.2,328,8,0.001,0.0001,0.0001
0,3,dm,.2,72,8,0.001,0.0001,0.0001
1,5,dmdar,.2,136,8,0.001,0.0001,0.0001
0,7,dm,.2,200,8,0.001,0.0001,0.0001
0,13,lws,.3,392,8,0.001,0.0001,0.0001
0,5,dmdar,.3,136,8,0.001,0.0001,0.0001
1,9,dm,.3,264,8,0.001,0.0001,0.0001
0,3,dmdar,.3,72,8,0.001,0.0001,0.0001
0,7,dm,.3,200,8,0.001,0.0001,0.0001
1,3,dmdar,.3,72,8,0.001,0.0001,0.0001
1,7,dmdar,.3,200,8,0.001,0.0001,0.0001
0,11,dmdar,.3,328,8,0.001,0.0001,0.0001
0,9,dmdar,.3,264,8,0.001,0.0001,0.0001
0,13,dm,.3,392,8,0.001,0.0001,0.0001
0,5,lws,.3,136,8,0.001,0.0001,0.0001
0,9,random,.3,264,8,0.001,0.0001,0.0001
0,13,dmdar,.3,392,8,0.001,0.0001,0.0001
1,9,ws,.3,264,8,0.001,0.0001,0.0001
1,13,ws,.3,392,8,0.001,0.0001,0.0001
1,5,ws,.3,136,8,0.001,0.0001,0.0001
0,9,ws,.3,264,8,0.001,0.0001,0.0001
1,13,lws,.3,392,8,0.001,0.0001,0.0001
1,3,random,.3,72,8,0.001,0.0001,0.0001
0,3,random,.3,72,8,0.001,0.0001,0.0001
0,5,dm,.3,136,8,0.001,0.0001,0.0001
0,3,ws,.3,72,8,0.001,0.0001,0.0001
1,3,lws,.3,72,8,0.001,0.0001,0.0001
1,11,lws,.3,328,8,0.001,0.0001,0.0001
1,7,dm,.3,200,8,0.001,0.0001,0.0001
1,11,dmdar,.3,328,8,0.001,0.0001,0.0001
0,7,ws,.3,200,8,0.001,0.0001,0.0001
0,13,random,.3,392,8,0.001,0.0001,0.0001
0,9,lws,.3,264,8,0.001,0.0001,0.0001
0,5,random,.3,136,8,0.001,0.0001,0.0001
1,9,lws,.3,264,8,0.001,0.0001,0.0001
1,3,ws,.3,72,8,0.001,0.0001,0.0001
1,13,dmdar,.3,392,8,0.001,0.0001,0.0001
1,5,dm,.3,136,8,0.001,0.0001,0.0001
0,11,lws,.3,328,8,0.001,0.0001,0.0001
0,11,dm,.3,328,8,0.001,0.0001,0.0001
1,9,random,.3,264,8,0.001,0.0001,0.0001
0,11,random,.3,328,8,0.001,0.0001,0.0001
1,7,ws,.3,200,8,0.001,0.0001,0.0001
1,11,random,.3,328,8,0.001,0.0001,0.0001
0,5,ws,.3,136,8,0.001,0.0001,0.0001
1,7,lws,.3,200,8,0.001,0.0001,0.0001
0,7,random,.3,200,8,0.001,0.0001,0.0001
1,11,ws,.3,328,8,0.001,0.0001,0.0001
0,7,dmdar,.3,200,8,0.001,0.0001,0.0001
1,13,dm,.3,392,8,0.001,0.0001,0.0001
0,3,dm,.3,72,8,0.001,0.0001,0.0001
1,5,dmdar,.3,136,8,0.001,0.0001,0.0001
1,13,random,.3,392,8,0.001,0.0001,0.0001
1,7,random,.3,200,8,0.001,0.0001,0.0001
1,5,random,.3,136,8,0.001,0.0001,0.0001
0,9,dm,.3,264,8,0.001,0.0001,0.0001
1,9,dmdar,.3,264,8,0.001,0.0001,0.0001
1,5,lws,.3,136,8,0.001,0.0001,0.0001
1,11,dm,.3,328,8,0.001,0.0001,0.0001
1,3,dm,.3,72,8,0.001,0.0001,0.0001
0,11,ws,.3,328,8,0.001,0.0001,0.0001
0,3,lws,.3,72,8,0.001,0.0001,0.0001
0,7,lws,.3,200,8,0.001,0.0001,0.0001
0,13,ws,.3,392,8,0.001,0.0001,0.0001
0,5,lws,.4,136,8,0.001,0.0001,0.0001
1,9,dm,.4,264,8,0.001,0.0001,0.0001
0,9,lws,.4,264,8,0.001,0.0001,0.0001
0,7,dmdar,.4,200,8,0.001,0.0001,0.0001
1,9,random,.4,264,8,0.001,0.0001,0.0001
1,13,lws,.4,392,8,0.001,0.0001,0.0001
0,3,dmdar,.4,72,8,0.001,0.0001,0.0001
0,7,dm,.4,200,8,0.001,0.0001,0.0001
0,7,lws,.4,200,8,0.001,0.0001,0.0001
0,11,ws,.4,328,8,0.001,0.0001,0.0001
0,3,random,.4,72,8,0.001,0.0001,0.0001
1,9,ws,.4,264,8,0.001,0.0001,0.0001
1,7,dm,.4,200,8,0.001,0.0001,0.0001
1,11,dm,.4,328,8,0.001,0.0001,0.0001
1,13,dm,.4,392,8,0.001,0.0001,0.0001
1,13,ws,.4,392,8,0.001,0.0001,0.0001
1,11,ws,.4,328,8,0.001,0.0001,0.0001
1,3,dm,.4,72,8,0.001,0.0001,0.0001
1,5,ws,.4,136,8,0.001,0.0001,0.0001
1,7,lws,.4,200,8,0.001,0.0001,0.0001
1,5,dmdar,.4,136,8,0.001,0.0001,0.0001
1,3,random,.4,72,8,0.001,0.0001,0.0001
1,9,dmdar,.4,264,8,0.001,0.0001,0.0001
1,3,ws,.4,72,8,0.001,0.0001,0.0001
0,9,dmdar,.4,264,8,0.001,0.0001,0.0001
1,3,lws,.4,72,8,0.001,0.0001,0.0001
0,9,dm,.4,264,8,0.001,0.0001,0.0001
0,9,random,.4,264,8,0.001,0.0001,0.0001
1,7,dmdar,.4,200,8,0.001,0.0001,0.0001
1,5,random,.4,136,8,0.001,0.0001,0.0001
0,7,ws,.4,200,8,0.001,0.0001,0.0001
1,11,random,.4,328,8,0.001,0.0001,0.0001
1,11,dmdar,.4,328,8,0.001,0.0001,0.0001
0,3,lws,.4,72,8,0.001,0.0001,0.0001
0,11,random,.4,328,8,0.001,0.0001,0.0001
0,13,lws,.4,392,8,0.001,0.0001,0.0001
0,5,ws,.4,136,8,0.001,0.0001,0.0001
1,7,random,.4,200,8,0.001,0.0001,0.0001
0,13,ws,.4,392,8,0.001,0.0001,0.0001
1,5,lws,.4,136,8,0.001,0.0001,0.0001
0,5,random,.4,136,8,0.001,0.0001,0.0001
1,9,lws,.4,264,8,0.001,0.0001,0.0001
0,3,ws,.4,72,8,0.001,0.0001,0.0001
1,13,dmdar,.4,392,8,0.001,0.0001,0.0001
0,11,dmdar,.4,328,8,0.001,0.0001,0.0001
0,11,lws,.4,328,8,0.001,0.0001,0.0001
0,13,dm,.4,392,8,0.001,0.0001,0.0001
0,7,random,.4,200,8,0.001,0.0001,0.0001
1,13,random,.4,392,8,0.001,0.0001,0.0001
0,11,dm,.4,328,8,0.001,0.0001,0.0001
0,5,dmdar,.4,136,8,0.001,0.0001,0.0001
1,5,dm,.4,136,8,0.001,0.0001,0.0001
1,7,ws,.4,200,8,0.001,0.0001,0.0001
0,13,random,.4,392,8,0.001,0.0001,0.0001
0,5,dm,.4,136,8,0.001,0.0001,0.0001
0,3,dm,.4,72,8,0.001,0.0001,0.0001
1,11,lws,.4,328,8,0.001,0.0001,0.0001
1,3,dmdar,.4,72,8,0.001,0.0001,0.0001
0,13,dmdar,.4,392,8,0.001,0.0001,0.0001
0,9,ws,.4,264,8,0.001,0.0001,0.0001
0,9,lws,.5,264,8,0.001,0.0001,0.0001
1,13,random,.5,392,8,0.001,0.0001,0.0001
0,7,lws,.5,200,8,0.001,0.0001,0.0001
1,5,ws,.5,136,8,0.001,0.0001,0.0001
1,9,dm,.5,264,8,0.001,0.0001,0.0001
1,11,random,.5,328,8,0.001,0.0001,0.0001
1,11,lws,.5,328,8,0.001,0.0001,0.0001
1,3,lws,.5,72,8,0.001,0.0001,0.0001
0,3,dmdar,.5,72,8,0.001,0.0001,0.0001
0,11,lws,.5,328,8,0.001,0.0001,0.0001
1,5,random,.5,136,8,0.001,0.0001,0.0001
1,11,ws,.5,328,8,0.001,0.0001,0.0001
0,3,lws,.5,72,8,0.001,0.0001,0.0001
1,13,ws,.5,392,8,0.001,0.0001,0.0001
0,3,dm,.5,72,8,0.001,0.0001,0.0001
1,9,dmdar,.5,264,8,0.001,0.0001,0.0001
0,5,ws,.5,136,8,0.001,0.0001,0.0001
1,3,ws,.5,72,8,0.001,0.0001,0.0001
0,7,ws,.5,200,8,0.001,0.0001,0.0001
1,7,ws,.5,200,8,0.001,0.0001,0.0001
0,5,dmdar,.5,136,8,0.001,0.0001,0.0001
1,9,lws,.5,264,8,0.001,0.0001,0.0001
1,9,random,.5,264,8,0.001,0.0001,0.0001
0,9,random,.5,264,8,0.001,0.0001,0.0001
0,5,lws,.5,136,8,0.001,0.0001,0.0001
0,11,random,.5,328,8,0.001,0.0001,0.0001
1,9,ws,.5,264,8,0.001,0.0001,0.0001
1,11,dmdar,.5,328,8,0.001,0.0001,0.0001
0,13,random,.5,392,8,0.001,0.0001,0.0001
1,3,random,.5,72,8,0.001,0.0001,0.0001
1,7,dmdar,.5,200,8,0.001,0.0001,0.0001
1,13,lws,.5,392,8,0.001,0.0001,0.0001
0,5,random,.5,136,8,0.001,0.0001,0.0001
0,11,dm,.5,328,8,0.001,0.0001,0.0001
1,7,random,.5,200,8,0.001,0.0001,0.0001
0,13,lws,.5,392,8,0.001,0.0001,0.0001
1,5,dm,.5,136,8,0.001,0.0001,0.0001
0,13,ws,.5,392,8,0.001,0.0001,0.0001
0,7,random,.5,200,8,0.001,0.0001,0.0001
0,9,dm,.5,264,8,0.001,0.0001,0.0001
1,5,dmdar,.5,136,8,0.001,0.0001,0.0001
0,5,dm,.5,136,8,0.001,0.0001,0.0001
0,9,ws,.5,264,8,0.001,0.0001,0.0001
1,7,dm,.5,200,8,0.001,0.0001,0.0001
0,3,random,.5,72,8,0.001,0.0001,0.0001
0,9,dmdar,.5,264,8,0.001,0.0001,0.0001
0,3,ws,.5,72,8,0.001,0.0001,0.0001
0,11,dmdar,.5,328,8,0.001,0.0001,0.0001
1,5,lws,.5,136,8,0.001,0.0001,0.0001
0,13,dm,.5,392,8,0.001,0.0001,0.0001
1,11,dm,.5,328,8,0.001,0.0001,0.0001
1,3,dmdar,.5,72,8,0.001,0.0001,0.0001
