WithIO,BlockSeg,Schedulers,Width,AbsorbSize,TotalTime,TimeStep,OutputTime
1,24,dmdar,360,8,0.001,0.0001,0.0001
0,24,lws,360,8,0.001,0.0001,0.0001
1,32,dmdar,360,8,0.001,0.0001,0.0001
1,32,lws,360,8,0.001,0.0001,0.0001
0,16,lws,360,8,0.001,0.0001,0.0001
0,32,lws,360,8,0.001,0.0001,0.0001
1,16,dmdar,360,8,0.001,0.0001,0.0001
0,12,lws,360,8,0.001,0.0001,0.0001
1,16,lws,360,8,0.001,0.0001,0.0001
0,16,dmdar,360,8,0.001,0.0001,0.0001
1,12,lws,360,8,0.001,0.0001,0.0001
0,32,dmdar,360,8,0.001,0.0001,0.0001
1,12,dmdar,360,8,0.001,0.0001,0.0001
0,12,dmdar,360,8,0.001,0.0001,0.0001
1,24,lws,360,8,0.001,0.0001,0.0001
0,24,dmdar,360,8,0.001,0.0001,0.0001
